Unnamed: 0,번호,제목,저자,출판사,출판일
,57,"The influence of IT-competency dimensions on job satisfaction, knowledge sharing and performance across industries","Kucharska, Wioleta; Erickson, G. Scott",Emerald Group Publishing Limited,2019
,58,The Influence of Transfer Climate and Job Attitudes on the Transfer Process: Modeling the Direct and Indirect Effects,"Peters, S.; Cossette, M.; Bates, R.; Holton, E.; Hansez, I.; Faulx, D.",Hogrefe Publishing,2014
,59,The Influence of Cognitive Climate on Job Satisfaction and Creative Efficacy,"Tierney, P.",SELECT PRESS,1997
,60,The Influence of Abusive Supervision and Job Embeddedness on Citizenship and Deviance,"Avey, J. B.; Wu, K.; Holley, E.",Springer Science + Business Media,2015
,61,The influence of ethical climate on job satisfaction of university human resources: promoting healthy vocations in the midst of change,"Khasawneh, S.",Inderscience,2014
,62,The influence of age on the job resources-engagement relationship,"Ning, Wei; Alikaj, Albi",Emerald Group Publishing Limited,2019
,63,The influence of Karasek dimensions of job strain on health,"Sivell, S.",Francis,2001
,64,The influence of operating room nurses' job stress on burnout and organizational commitment: The moderating effect of over‐commitment,"Li, Na; Zhang, Lichuan; Li, XueJing; Lu, Qian",Wiley- Blackwell,2021
,65,The Influence of Person-Organization Fit and Job Satisfaction on Organizational Turnover in Coaching,"Sosa, J.; Butler, B.; Sagas, M.","NASSM,",2006
,66,The influence of SHRM functions on job satisfaction of employees through organisational support in a man power agency of Chennai International Airport,"Vasumathi, A.",Inderscience,2017
,67,The influence of organizational culture and job design on job commitment and human resource performance,"Raharjo, Kusdi; , Nurjannah; , Solimun; Achmad Rinaldo Fernandes, Adji",Emerald Group Publishing Limited,2018
,68,The Influence of Intrinsic and Extrinsic Job Values on Turnover Intention Among Continuing Care Assistants in Nova Scotia,"Dill, D.M.; Keefe, J.M.; McGrath, D.S.",Taylor & Francis,2012
,69,The influence of corporate psychopaths on job satisfaction and its determinants,"Boddy, Clive Roland; Taplin, Ross",Emerald Group Publishing Limited,2016
,70,"THE INFLUENCE OF SOCIAL CAPITAL ON JOB SATISFACTION AMONG THE AGRICULTURE FACULTY MEMBERS IN UNIVERSITY OF TEHRAN, IRAN","Naderi, N.; Shiri, N.; Tatar, M.; Pirmoradi, A.",PUBLICATIONS INTERNATIONAL,2014
,71,The Influence of Secondary Conditions on Job Acquisition and Retention in Adults With Spinal Cord Injury,"Meade, M. A.; Forchheimer, M. B.; Krause, J. S.; Charlifue, S.","Elsevier Science B.V., Amsterdam",2011
,72,The influence of supportive leadership and job characteristics on work alienation: A six-country investigation,"Banai, M.; Reisel, W. D.","Elsevier Science B.V., Amsterdam.",2007
,73,The influence of organizational justice on job performance,"Swalhi, Abdelaziz; Zgoulli, Saloua; Hofaidhllaoui, Mahrane",Emerald Group Publishing Limited,2017
,74,The influence of organizational culture on job satisfaction and intention to leave,"MacIntosh, E. W.; Doherty, A.",ELSEVIER SCIENCE B.V. AMSTERDAM,2010
,75,The Influence of Covariates on Latent Job Performance Ratings from Differing Sources: A Mimic Modeling Approach,"Whitaker, B.G.",PRACADEMIC PRESS,2012
,76,The influence of organisational justice on job satisfaction: evidence from an emerging nation,"Sohail, M.S.; Nuhu, N.A.",Inderscience Eterprises Ltd,2010
,77,The Influence of Organizational Culture and Job Satisfaction on Organizational Citizenship Behavior (OCB) with Organizational Commitment as Intervening Variable at PT. Cartenz Indonesia in Solo City-Indonesia,Wiji Utami ; Lilik Farida ; Nadia Azalia ; Muhammad Lutfi,American Scientific Publishers,2017
,78,The influence of service climate and job involvement on customer-oriented organizational citizenship behavior in Greek service organizations: a survey,"Dimitriades, Z. S.",Emerald Group Publishing Limited,2007
,79,The Influence of Perceived Interviewer and Job and Organizational Characteristics on Applicant Attraction and Job Choice Intentions: The role of applicant anxiety,"Carless, S. A.; Imber, A.",Blackwell Publishing Ltd,2007
,80,"Efficacy beliefs, job satisfaction, stress and their influence on the occupational commitment of English-medium content teachers in the Dominican Republic","Gilbert, R.B.; Adesope, O.O.; Schroeder, N.L.",Taylor & Francis,2014
,81,"Examining the Influence of Work—Family Conflict on Job Stress, Job Satisfaction, and Organizational Commitment Among Correctional Officers","Vickovic, Samuel G.; Morrow, Weston J.","COLLEGE OF HEALTH & HUMAN SCIENCES, GEORGIA STATE UNIV",2020
,82,Poster 2: Influence of Minority Status on Job Stability After Traumatic Brain Injury,"Arango, J.; Ketchum, J.; Williams, K.; Kreutzer, J.; O'Neil-Pirozzi, T.; Wehman, P.; Marquez, C.; Jha, A.","Elsevier Science B.V., Amsterdam",2008
,83,The Changing Influence of Societal Culture on Job Satisfaction across Europe,"Pacheco, G.; der Westhuizen, D. W.; Ghobadian, A.; Webber, D. J.; O'Regan, N.",Wiley-Blackwell,2016
,84,The relative influence of organisational commitment and job satisfaction on service quality of customer-contact employees in banking call centres,"Malhotra, N.; Mukherjee, A.",Emerald Group Publishing Limited,2004
,85,FP701 THE INFLUENCE OF SOCIOECONOMIC FACTORS and JOB SATISFACTIONS’ OF DIALYSIS STAFF ON DEPRESSION OF MAINTENANCE HEMODIALYSIS PATIENTS AND THEIR CARETAKERS,"Erkmen Uyar, M.; Sezer, S.; Bal, Z.; Tutal, E.; Uyar, A. S.; Sayin, B.; Ozdemir Acar, N.",Oxford University Press,2015
,86,The age-dependent influence of self-reported health and job characteristics on retirement,"Mortelmans, D.; Vannieuwenhuyze, J. T.",Springer Science + Business Media,2013
,87,A Study of Job Satisfaction and Factors that Influence it,"Thekedam, J.S.","SJ, XLRI",2010
,88,A Study of Teacher Job Satisfaction and Factors That Influence It,"Bolin, F.",M.E. SHARPE INC.,2007
,89,A Research on the Influence of Leadership Style and Job Characteristics on Job Performance among Accountants of County and City Government in Taiwan,"Chu, L.-C.; Lai, C.-C.",IPMA INTERNATIONAL PERSONNEL MANAGEMENT ASS,2011
,90,Does interview anxiety predict job performance and does it influence the predictive validity of interviews?,"Schneider, Leann; Powell, Deborah M.; Bonaccio, Silvia",Wiley-Blackwell,2019
,91,Hierarchy and Happiness: The Influence of Emotion on Administrative Job Satisfaction,"Downey, J.",Taylor & Francis,2008
,92,Accounting for the Influence of Overall Justice on Job Performance: Integrating Self-Determination and Social Exchange Theories,"Aryee, S.; Walumbwa, F. O.; Mondejar, R.; Chu, C. W.",Blackwell Publishing Ltd,2015
,93,Gender Differences in the Influence of Mental Health on Job Retention,"Barnay, Thomas; Defebvre, Éric",John Wiley & Sons Ltd,2019
,94,Technostress creators and job outcomes: theorising the moderating influence of personality traits,"Srivastava, S. C.; Chandra, S.; Shirish, A.","John Wiley & Sons, Ltd",2015
,95,Strength in adversity: The influence of psychological capital on job search,"Chen, D. J.; Lim, V. K.","John Wiley & Sons, Ltd",2012
,96,Transactive Memory and the Job Search: Finding Expertise and Influence in Socio-technical Networks,"Piercy, Cameron W.; Zhu, Yaguang",Taylor & Francis,2021
,97,Divergent Drinking Patterns of Restaurant Workers: The Influence of Social Networks and Job Position,"Duke, M.R.; Ames, G.M.; Moore, R.S.; Cunradi, C.B.",Taylor & Francis,2013
,98,Core Self-Evaluations Mediators of the Influence of Social Support on Job Involvement in Hospital Nurses,"Yan, X.; Su, J.",Springer Science + Business Media,2013
,99,"Masculine, Feminine, or Androgynous: The Influence of Gender Identity on Job Satisfaction Among Female Police Officers","Swan, Angela A.",Taylor & Francis,2016
,100,"Principal selection decisions made by teachers: The influence of work values, principal job","Winter, Paul A",Technomic Pub. Co,1998
,1,"How do safety engineers improve their job performance? The roles of influence tactics, expert power, and management support","Bunner, Johanna; Prem, Roman; Korunka, Christian",Emerald Group Publishing Limited,2019
,2,Competencies of older workers and its influence on career success and job satisfaction,"Hennekam, Sophie",Emerald Group Publishing Limited,2016
,3,An empirical study of the influence of the concept of “job-hunting�? on graduates’ employment,"Chen, C.; Hu, G.",SPRINGER SCIENCE & BUSINESS MEDIA,2008
,4,Mobile Technology Use Among Salespeople and Its Influence on Role Stress and Job Satisfaction,"Rodríguez,  Rocío; Román,  Sergio",American Marketing Association,2017
,5,Study of married workers in Indian IT shows influence of work-family enrichment on job satisfaction,unknown,Emerald Group Publishing Limited,2019
,6,When it matters how you pronounce it: The influence of regional accents on job interview outcome,"Raki, T.; Steffens, M. C.; Mummendey, A.",BRIT PSYCHOLOGICAL SOCIETY,2011
,7,When Employees Are Out of Step with Coworkers: How Job Satisfaction Trajectory and Dispersion Influence Individual- and Unit-Level Voluntary Turnover,"Liu, D.; Mitchell, T.R.; Lee, T.W.; Holtom, B.C.; Hinkin, T.R.",ACADEMY OF MANAGEMENT,2012
,8,A dark side of leadership: Corporate psychopathy and its influence on employee well-being and job satisfaction,"Mathieu, C.; Neumann, C. S.; Hare, R. D.; Babiak, P.",Elsevier Science B. V. Amsterdam,2014
,9,Focus on the finish line: does high-impact practice participation influence career plans and early job attainment?,"Miller, A. L.; Rocconi, L. M.; Dumford, A. D.",Springer Science + Business Media,2018
,10,THE PREDICTABILITY OF ABSENCE AND PROPENSITY TO LEAVE FROM EMPLOYEES' JOB SATISFACTION AND ATTITUDES TOWARD INFLUENCE IN DECISION MAKING,"Nicholson, Nigel;  Wall, Toby",Plenum Press,1977
,11,"""I Laughed so Hard My Side Hurts, or is That an Ulcer?"" The Influence of Work Humor on Job Stress, Job Satisfaction, and Burnout Among Print Media Employees","Avtgis, T. A.; Taber, K. R.",THE EASTERN COMMUNICATION ASSOCIATION,2006
,12,"""I Laughed so Hard My Side Hurts, or is That an Ulcer?"" The Influence of Work Humor on Job Stress, Job Satisfaction, and Burnout Among Print Media Employees","Avtgis, T. A.; Taber, K. R.",Taylor & Francis Group,2006
,13,Influence of Empirical Work on the Job-Related Ethics of Hotel Interns: A Case Study of Students in Mainland China,"Chen, F.; Song, W.; Wu, L.; Ma, M.",unknown,2013
,14,Retail entrepreneurs' exit intentions: Influence and mediations of personality and job-related factors,"Lindblom, Arto; Lindblom, Taru; Wechtler, Heidi","Elsevier Science B.V., Amsterdam.",2020
,15,"The Influence of Occupational Image Subculture on Job Attitudes, Job Performance, and the Job Attitude-Job Performance Relationship",Dee Birnbaum; Mark John Somers,Plenum Press,1986
,16,Job apathy and work engagement: Moderating influence of perceived leader integrity and spiritual intelligence in a Nigerian mass transit company,"Ugwu, Fabian O.; Onyishi, Ike E.; Egwu, Okechukwu Ibiam; Akanu, Otu Otu; Groupson, Okechukwu; Agudiegwu, Moses",Taylor & Francis,2019
,17,"Influence of type D personality on job stress and job satisfaction in clinical nurses: the mediating effects of compassion fatigue, burnout, and compassion satisfaction","Kim, Y. H.; Kim, S. R.; Kim, Y. O.; Kim, J. Y.; Kim, H. K.; Kim, H.",Wiley- Blackwell,2017
,18,"Influence of Employee Age, Sex, and Job Status on Managerial Recommendations for Retirement","Rosen, Benson;Jerdee, Thomas H.",ACADEMY OF MANAGEMENT,1979
,19,Influence of corporate social responsibility in job pursuit intention among prospective employees in Malaysia,"Moorthy, Krishna; Ai Na, Seow; Wei Yee, Chan; Yi Xian, Chia; Tian Jin, Ong; Sook Mun, Teoh; Shu Shan, Won",EMERALD GROUP PUBLISHING LIMITED,2017
,20,Job characteristics theory and mentoring: the influence of cognitive tasks and educational leadership on mentoring provided,"Waaland, Torbjørn",Emerald,2020
,21,Influence of Corporate Citizenship on Employee Job Attitudes,"Mathew, R.; Krishnatray, P.",SAGE PUBLICATIONS,2011
,22,Influence of Stress Resiliency on RN Job Satisfaction and Intent to Stay,"Larrabee, J.H.; Wu, Y.; Persily, C.A.; Simoni, P.S.; Johnston, P.A.; Marcischak, T.L.; Mott, C.L.; Gladden, S.D.",SAGE Publications,2010
,23,The influence of a mindfulness-based intervention on job satisfaction and work-related stress and anxiety,"Wongtongkam, Nualnong; Krivokapic-Skoko, Branka; Duncan, Roderick; Bellio, Mariagrazia",Clifford Beers Foundation,2017
,24,The Influence of Leadership Style on Teacher Job Satisfaction,"Bogler, R.",SAGE PUBLICATIONS COMPANY,2001
,25,The Influence of Hotels High-Commitment HRM on Job Engagement of Employees: Mediating Effects of Workplace Happiness and Mental Health,"Kim, Kwon-Soo",Springer Nature,2018
,26,Upward influence tactics and their effects on job performance ratings and flexible working arrangements: The mediating roles of mutual recognition respect and mutual appraisal respect,unknown,John Wiley & Sons Ltd,2020
,27,"The Influence of Career Stages on Salespeople's Job Attitudes, Work Perceptions, and Performance","Cron, William L.",American Marketing Association,1986
,28,"Does job satisfaction, fair treatment, and cooperativeness influence the whistleblowing practice in Malaysian Government linked companies?","Said, Jamaliah; Alam, Md. Mahmudul; Mohamed, Dar Irna Bt; Rafidi, Marhamah",Emerald,2017
,29,"The Influence of Manager Behavior on Nurses' Job Satisfaction, Productivity, and Commitment","McNeese-Smith, D. K","J.B.Lippincott, etc",1997
,30,Upward influence tactics and their effects on job performance ratings and flexible working arrangements: The mediating roles of mutual recognition respect and mutual appraisal respect,"Clarke, Nicholas; Alshenalfi, Najla; Garavan, Thomas",John Wiley & Sons Ltd,2019
,31,The influence of personality traits on nurses' job satisfaction in Taiwan,"Chang, Y. H.; Li, H. H.; Wu, C. M.; Wang, P. C.",Blackwell Publishing Ltd,2010
,32,The Influence of Couple Emotional Intimacy on Job Perceptions and Work-Family Conflict,"McAllister, S.; Thornock, C. M.; Hammond, J. R.; Holmes, E. K.; Hill, E. J.",SAGE PERIODICALS PRESS,2012
,33,The Influence of External Recruitment Practices on Job Search Practices Across Domestic Labor Markets: A comparison of the United States and China,"Werbel, J. D.; Song, L. J.; Yan, S.",Blackwell Publishing Ltd,2008
,34,The Influence of Supervisor Temperament on Subordinate Job Satisfaction and Perceptions of Supervisor Sociocommunicative Orientation and Approachability,"Porter, H.; Wrench, J. S.; Hoskinson, C.",Taylor & Francis,2007
,35,"The Influence Of Market Orientation, Flexibility And Job Satisfaction On Corporate Entrepreneurship","Adonisi, M.; van Wyk, R.",WESTERN ACADEMIC PRESS INC,2012
,36,The influence of conflict management culture on job satisfaction,"Choi, Y.",SOCIETY FOR PERSONALITY RESEARCH,2013
,37,The Influence of the Entrepreneurs' Vision on Job Creation in Successful Belgian Entrepreneurial Companies,"Van Autreve, J.; Crijns, H.; Buelens, M.",Babson College,1998
,38,The influence of labour market institutions on job complexity,"Amine, S.; Dos Santos, P. L.","Elsevier Science B.V., Amsterdam",2011
,39,The influence of nurses` working motivation and job satisfaction on intention to quit: an empirical investigation in Taiwan,"Tzeng, H. M.","Elsevier Science B.V., Amsterdam.",2002
,40,The influence of a pay increase on job satisfaction: A study with the Chinese army,"Yang, H.; Miao, D.; Zhu, X.; Sun, Y.; Liu, X.; Wu, S.",SOCIETY FOR PERSONALITY RESEARCH,2008
,41,Beyond Words: Influence of Nonverbal Behavior of Female Job Applicants in the Employment Interview,"Young, David M.; Ernst G. Beier; Steven Beier",American Association for Counseling and Development,1979
,42,Take This Job and Shove It: Examining the Influence of Role Stressors and Emotional Exhaustion on Organizational Commitment and Identification in Professional Truck Drivers,"Kemp, E.; Kopp, S. W.; Kemp, E. C.",COUNCIL OF LOGISTICTS MANAGEMENT,2013
,43,"Reducing salesperson job stress and unethical intent: The influence of leader-member exchange relationship, socialization and ethical ambiguity","Schwepker, Charles H.; Good, Megan C.","Elsevier Science B.V., Amsterdam.",2017
,44,Beyond Words: Influence of Nonverbal Behavior of Female Job Applicants in the Employment Interview.,"Young, David M.;And Others","American Association for Counseling and Development, etc",1979
,45,Assessment of the Influence of Indoor Environment on the Job Stress and Productivity of Occupants in Offices,"Clements-Croome, D.; Li, B.",Healthy Buildings/IAQ,1997
,46,"The Research Assistants' Job Satisfaction and the Factors That Influence This Satisfaction at Hacettepe University, School of Pharmacy","Acar, A.; Nemutlu, E.; Gurhan, G.; Liman, V.",ECZACILIK FAKULTESI DEKANLIGI ANKARA,2004
,47,The direct and indirect influence of mindfulness on techno-stressors and job burnout: A quantitative study of white-collar workers,"Pflügner, Katharina; Maier, Christian; Weitzel, Tim","Elsevier Science B.V., Amsterdam.",2021
,48,An Examination of the Influence of Smoking Behavior on Individual Job Performance,"Korkmaz, Murat; Tastan, Secil; Yücel, A. Serdar",KAMLA-RAJ ENTERPRISES,2017
,49,Factors perceived to influence the selection of information technology jobs,"Ananthakumar, U.; Nerurkar, A.N.",Inderscience,2011
,50,Do Asthma and Physical Inactivity Influence the Associations of Personal and Job Stressors with Perceived Stress and Depression? Findings from the 1998-1999 California Work and Health Survey,"Hurwitz, E. L.","Elsevier Science B.V., Amsterdam.",2003
,51,"Athletics, clubs, or music? The influence of college extracurricular activities on job prestige and satisfaction","Kim, Jeongeun; Bastedo, Michael N.",Taylor & Francis,2017
,52,Customer orientation as a mediator of the influence of locus of control on job performance,"Chang, W. J.; Huang, T. C.",Taylor & Francis,2011
,53,Turning their Pain to Gain: Charismatic Leader Influence on Follower Stress Appraisal and Job Performance,"LePine,  Marcie A.; Zhang,  Yiwen; Crawford,  Eean R.; Rich,  Bruce Louis",ACADEMY OF MANAGEMENT,2016
,54,Why does firm reputation in human resource policies influence college students? The mechanisms underlying job pursuit intentions,"Wayne, J. H.; Casper, W. J.",JOHN WILEY & SONS LTD,2012
,55,Reality and Expectation: A Study of Those Variables Which Influence a Ph.D's Choice of Available Job Positions,"Spann, S.",Decision Sciences Institute,1998
,56,Using a Personal Development Plan for Different Purposes: Its Influence on Undertaking Learning Activities and Job Performance,"Beausaert, S. A.; Segers, M. S.; Gijselaers, W. H.",SPRINGER SCIENCE + BUSINESS MEDIA,2011
,57,How Do Workers Find Jobs? A Study of Informal Information and Influence Networks in Labor Markets,Mary Corcoran;Linda Datcher;Greg J. Duncan,ASA,1980
,58,Hunting for a Job: How Individual Differences in Foraging Strategies Influence the Length of Unemployment,"Wieczorkowska, G.; Burnstein, E.",SAGE PUBLICATIONS,2004
,59,But they promised! How psychological contracts influence the impact of felt violations on job-related anxiety and performance,"De Clercq, Dirk; Azeem, Muhammad Umer; Haq, Inam Ul",Emerald Group Publishing Limited,2020
,60,A multilevel analysis of individual and organizational factors that influence the relationship between career development and job-performance improvement,"Lee, Yunsoo; Lee, Jae Young",Emerald,2018
,61,Influence of personal characteristics on self-concept and job satisfaction of registered nurses working in cross-cultural settings in the United Arab Emirates,"Edwin, Vimala",Medknow,2018
,62,Job Stress in the Nursing Profession: The Influence of Organizational and Environmental Conditions and Job Characteristics,"Gelsema, T. I.; van der Doef, M.; Maes, S.; Akerboom, S.; Verhoeven, C.",Springer Science + Business Media,2005
,63,Job satisfaction and job performance among r&d scientists: The moderating influence of perceived appropriateness of task allocation decisions,Muayyad M. Jabri,Sydney University Press,1992
,64,"Job and Organizational Characteristics, Accountability, and Employee Influence","Ferris, G.R.; Dulebohn, J.H.; Frink, D.D.; George-Falvy, J.; Mitchell, T.R.; Matthews, L.M.",PITTSBURG STATE UNIVERSITY,2009
,65,Influence of Socio - Demographic Factors on Job Burnout of Standard and Industry Employees,"Kord, B.",INDIAN ACADEMY OF APPLIED PSYCHOLOGY,2012
,66,"Influence of transactive memory on perceived performance, job satisfaction and identification in anaesthesia teams","Michinov, E.; Olivier-Chiron, E.; Rusch, E.; Chiron, B.",Oxford University Press,2008
,67,Job satisfaction amongst Dutch nurse anaesthetists: the influence of emotions on events,"Meeusen, V.; van Dam, K.; van Zundert, A.; Knape, J.",Blackwell Publishing Ltd,2010
,68,Influence of stress and nursing leadership on job satisfaction of pediatric intensive care unit nurses,00,LIPPINCOTT,2001
,69,Influence Of Leaders' Intrapersonal Competencies On Employee Job Satisfaction,"Singh, P.",WESTERN ACADEMIC PRESS INC,2013
,70,The influence of managers' social networking information on job applicants,"Ballweg, Christopher A.; Ross, William H.; Secchi, Davide; Uting, Chad",Emerald,2019
,71,DH jobs threat stokes fear of reduced nurse influence,unknown,EMAP INFORM,2016
,72,The influence of workplace discrimination and vigilance on job satisfaction with people who stutter,"Plexico, Laura W.; Hamilton, Megan-Brette; Hawkins, Haley; Erath, Stephen","Elsevier Science B.V., Amsterdam",2019
,73,The Influence of Family-Supportive Supervisor Training on Employee Job Performance and Attitudes: An Organizational Work-Family Intervention,"Odle-Dusseau,  Heather N.; Hammer,  Leslie B.; Crain,  Tori L.; Bodner,  Todd E.",EDUCATIONAL PUBLISHING FOUNDATION,2016
,74,The influence of personal characteristics on quantity surveyors' job satisfaction,"Lian, Jonathan K.M.; Ling, Florence Y.Y.",Emerald,2018
,75,The Influence of Perceptions of Promotion Opportunities on Job Performance and Its Mechanisms: A Case Study of Chinese Junior Civil Servants,"Xie, Lingling; Yang, Lihua",Taylor & Francis,2021
,76,The Influence of Work and Nonwork Factors on Job Satisfaction for Mexican-American Male Workers,"Hawkes, Glenn R.",Rural Sociological Society,1984
,77,"The influence of autonomy on personal support workers' job satisfaction, capacity to care, and intention to stay","Barken, Rachel; Denton, Margaret; Sayin, Firat K.; Brookman, Catherine; Davies, Sharon; Zeytinoglu, Isik U.",Taylor & Francis,2018
,78,The Influence of Shift Workers Sleeping Quality Upon Job Performance,"Huang, Y.-C.; Lin, F.-L.; Chen, H.-C.; Chen, C.-C.; Chang, C.-L.",SPRINGER-VERLAG,2014
,79,The influence of managers' social networking information on job applicants,"Ballweg, Christopher A.; Ross, William H.; Secchi, Davide; Uting, Chad",Emerald,2018
,80,Divergent Influence of Different Type A Dimensions on Job Strain and Effort-Reward Imbalance,"Hintsa, T.; Hintsanen, M.; Jokela, M.; Pulkki-Raback, L.; Keltikangas-Jarvinen, L.",WILLIAMS &amp; WILKINS,2010
,81,"THE INFLUENCE OF SUPERLEADER BEHAVIORS ON ORGANIZATION COMMMITMENT, JOB SATISFACTION AND ORGANIZATION SELF-ESTEEM IN A SELF-MANAGED WORK TEAM","Elloy, D.","WDSI,",2004
,82,The Influence of Workplace Injuries on Work-Family Conflict: Job and Financial Insecurity as Mechanisms,"Lawrence, E.R.; Halbesleben, J.R.B.; Paustian-Underdahl, S.C.",EDUCATIONAL PUBLISHING FOUNDATION,2013
,83,The influence of ethical climate on marketing employees' job attitudes and behaviors,"DeConinck, J. B.","Elsevier Science B.V., Amsterdam.",2010
,84,"Personality, Job Satisfaction and Health - The Mediating Influence of Affectivity","Fischer, J.A.V.; Sousa-Poza, A.",HELBING &amp; LICHTENHALN,2008
,85,"The influence of superleader behaviors on organization commitment, job satisfaction and organization self-esteem in a self-managed work team","Elloy, D. F.",Emerald Group Publishing Limited,2005
,86,Upward Influence Styles Used by Salespersons: Relationship with Job Performance,"Nonis, S. A.; Kumar, K.; Erdem, S. A.",SMA,1994
,87,The Influence of Workload and Health Behavior on Job Satisfaction of General Practitioners,"Goetz, K.; Musselmann, B.; Szecsenyi, J.; Joos, S.",SOCIETY OF TEACHERS OF FAMILY MEDICINE,2013
,88,THE INFLUENCE OF LEADERSHIP ON TAIWANESE NURSING FACULTY JOB SATISFACTION,"Chen, H.-C.; Baron, M.; Brights, L. K.","Western Institute of Nursing,",2005
,89,"Exploring Cultural Influence on Managerial Communication in Relationship to Job Satisfaction, Organizational Commitment, and the Employees' Propensity to Leave in the Insurance Sector of India","Raina,  Reeta; Roebuck,  Deborah Britt",Sage Publications,2016
,90,The mediating influence of organisational citizenship behaviour on employee job performance and staff incentive's relationship,"Rawabdeh, Mohammed; Nawafleh, Sahem; Alsari, Hiba; Melhem, Marwa Bani",INDERSCIENCE ENTERPRISES LTD,2019
,91,"How to Make Friends, Influence People, and Maybe Even Get a Job in a Music Library: Perspectives from Recent Graduates and New Professionals","Smith, L.",unknown,2014
,92,"Nurses' voice behaviour: The influence of humble leadership, affective commitment and job embeddedness in China","Zhou, Xiang; Wu, Zhen; Liang, Dandan; Jia, Ruiying; Wang, Meijie; Chen, Chaoran; Lu, Guangli",John Wiley & Sons Ltd,2021
,93,"DOES SIZE MATTER? THE INFLUENCE OF FIRM SIZE ON WORKING CONDITIONS, JOB SATISFACTION AND QUIT INTENTIONS","Garca-Serrano, C.",Blackwell Publishing Ltd,2011
,94,"Reward Expectations: The Influence of Race, Gender and Type of Job","Gasser, M.",EUROSPAN LTD,2000
,95,"The Interactive Effect of Influence Tactic, Applicant Gender, and Type of Job on Hiring Recommendations","Buttner, E. H.",PLENUM PUBLISHING CORPORATION,1996
,96,Are You Proud?: The Influence of Sport and Community Identity and Job Satisfaction on Pride of Mega-Event Volunteers,"Kim, M.; Kim, M.K.; Odio, M.A.",Cognizant Communication Corporation,2010
,97,Leavin' on My Mind: Influence of Safety Climate on Truck Drivers' Job Attitudes and Intentions to Leave,"Swartz, Stephen M.; Douglas, Matthew A.; Roberts, Matthew D.; Overstreet, Robert E.",AMERICAN SOCIETY TRANSPORTATION AND LOGISTICS,2017
,98,Enhancing Workspace Performance: Predicting the Influence of Spatial and Psychosocial Factors on Job Satisfaction,unknown,"Edmond, Okla.; Environmental Design Research Association",2007
,99,Effects of Trust in Superiors and Influence of Superiors on the Association Between Individual-Job Congruence and Job Performance/Satisfaction,"Goris, J. R.; Vaught, B. C.; Pettit Jr., J. D.",Kluwer Academic Publishers,2003
,100,Analysis of Professional Risk Under the Combined Influence of Harmful Factors with Allowance for Job Stress,"Pototskii, E. P.; Zavodnova, V. M.; Pikina, O. V.",Springer Science + Business Media,2014
,1,"Some Unexplored Supervisory Behaviors and Their Influence on Salespeople's Role Clarity, Specific Self-Esteem, Job Satisfaction, and Motivation","Kohli, Ajay K.",American Marketing Association,1985
,2,Study of the Migration Scheme Influence on Performance of A-Teams Solving the Job Shop Scheduling Problem,"Jedrzejowicz, P.; Wierzbowska, I.",SPRINGER-VERLAG,2012
,3,Does the use of a foreign language influence attention and genre-specific viewing patterns for job advertisements? An eye-tracking study,"Hilberink-Schulpen, Béryl; Nederstigt, Ulrike; van Meurs, Frank; van Alem, Emmie","Elsevier Science B.V., Amsterdam.",2016
,4,Your work is interfering with our life! The influence of a significant other on employee job search activity,"Baskerville Watkins, M.; Ren, R.; Boswell, W. R.; Umphress, E. E.; Triana, M. d.; Zardkoohi, A.",THE BRITISH PSYCHOLOGICAL SOCIETY,2012
,5,The influence of high-stakes testing on teacher self-efficacy and job-related stress,"Gonzalez, Alejandro; Peters, Michelle L.; Orange, Amy; Grigsby, Bettye",Taylor & Francis,2017
,6,"Using Self-Definition to Predict the Influence of Procedural Justice on Organizational-, Interpersonal-, and Job/Task-Oriented Citizenship Behavior","Brebels, L.; De Cremer, D.; Van Dijke, M.",Sage,2014
,7,Influence of Practice and Personal Characteristics on Dental Job Satisfaction,"Wells, A",American Association of Dental Schools,1999
,8,Job satisfaction amongst aged care staff: exploring the influence of person-centered care provision,"Edvardsson, D.; Fetherstonhaugh, D.; McAuliffe, L.; Nay, R.; Chenco, C.",Cambridge University Press,2011
,9,Influence of university prestige on graduate wage and job satisfaction: the case of South Korea,"Jung, Jisun; Lee, Soo Jeung",Taylor & Francis,2016
,10,Influence of individual characteristics on work engagement and job stress in a sample of national and migrant workers in Switzerland,"Pocnet, C.; Antonietti, J. P.; Massoudi, K.; Györkös, C.; Becker, J.; De Bruin, G. P.; Rossier, J.",Elsevier Science B. V. Amsterdam,2014
,11,Influence of Individual Characteristics on Work Engagement and Job Stress in a Sample of National and Foreign Workers in Switzerland,"Pocnet,  Cornelia; Antonietti,  Jean-Philippe; Massoudi,  Koorosh; Györkös,  Christina; Becker,  Jurgen; de Bruin,  Gideon P.; Rossier,  Jérôme",VERLAG HANS HUBER,2015
,12,Influence of individual characteristics on work engagement and job stress in a sample of national and migrant workers in Switzerland,"Pocnet, C.; Antonietti, J.P.; Massoudi, K.; Györkös, C.; Becker, J.; De Bruin, G.P.; Rossier, J.",Elsevier Science B. V. Amsterdam,2014
,13,"Influence of Overtime Work, Sleep Duration, and Perceived Job Characteristics on the Physical and Mental Status of Software Engineers","Nishikitani, M.; Nakao, M.; Karita, K.; Nomura, K.; Yano, E.",NATIONAL INSTITUTE OF INDUSTRIAL HEALTH,2005
